,bedType,bed,roomType,view,tuan,master_room_type,,,,room_name,stt
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad - Good For 4 Pax,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad (2 Inter-Connected Rooms For 4 Guests),2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad (Shared Bathroom),2
Standart,double single ,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Bed - 1 Double 1 Single With 1 Bunk Bed,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Bedroom,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Loft,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad No Window,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Room,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Room (Price Per Room),2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Room Shared Bathroom,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Room With Shared Bathroom,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Room With Shower,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Standard,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quad Standard Room,2
Standart,Other,Other,Quadraple,Other,Quadruple,Quadraple,,,,Quadraple Room With Private Bathroom,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Basic Quadruple Room,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,"Basic Quadruple Room, 1 Bedroom, Smoking",2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,"Basic Quadruple Room, Non Smoking",2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Comfort Quadruple Room,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,My Quadruple Room ,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,"Quadruple Alcove, Non-Private Bathroom",2
Standart,Other,Other,quadruple ,city ,Quadruple,Quadraple,,,,Quadruple City View,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Grand,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Mixed Room,2
Standart,Other,Other,quadruple ,city ,Quadruple,Quadraple,,,,Quadruple Room - City View,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room - Grand,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room - Shared Bath,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room (Bunk Bed),2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room (With Private Bathroom ),2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room Shared Bathroom,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room With Bunk Beds And Shared Bathroom,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room With Private Bathroom,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room With Private External Bathroom,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room With Shared Bathroom,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Room With Shared Bathroom - 4 Person,2
Standart,double ,Other,quadruple ,Other,Quadruple,Quadraple,,,,"Quadruple Room, 2 Double Beds",2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,"Quadruple Room, 2 Queen Beds",2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,"Quadruple Room, Private Bathroom",2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,"Quadruple Room, Shared Bathroom",2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Quadruple Standard,2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,"Comfort Quadruple Room, Shared Bathroom",2
Standart,Other,Other,quadruple ,Other,Quadruple,Quadraple,,,,Economy Quadruple Room With Shared Bathroom,2
Standart,Other,Other,quadruple executive ,Other,quadruple executive ,Quadraple,,,,Quadruple Executive One Bedroom,2
Standart,Other,Other,quadruple premier ,Other,quadruple premier ,Quadraple,,,,Quadruple Premier,2
Standart,Other,Other,quadruple premier ,Other,quadruple premier ,Quadraple,,,,Quadruple Premier Two Bedrooms,2
Standart,Other,Other,quadruple premier ,Other,quadruple premier ,Quadraple,,,,Quadruple Room - Premier,2
Standart,Other,Other,quadruple premium ,Other,quadruple premium ,Quadraple,,,,Quadruple Room - Premium,2
Standart,Other,Other,quadruple superior ,Other,quadruple superior ,Quadraple,,,,Quadruple Room - Superior,2
Standart,Other,Other,quadruple superior ,Other,quadruple superior ,Quadraple,,,,Quadruple Superior,2
Standart,Other,Other,superior quadruple ,Other,superior quadruple ,quadruple,,,,Superior Quadruple,2
Standart,Other,Other,superior quadruple ,Other,superior quadruple ,quadruple,,,,Superior Quadruple Room,2
Standart,Other,Other,superior quadruple ,Other,superior quadruple ,quadruple,,,,Superior Quadruple Room With Shared Bathroom,2
Standart,Other,Other,superior quadruple ,city ,superior quadruple ,quadruple,,,,"Superior Quadruple Room, City View",2
Standart,Other,Other,Residence,Other,Residence,Residence,,,,1 Bedroom Residence,2
Standart,Other,Other,Residence,Other,Residence,Residence,,,,4 Bedroom Residence,2
Standart,double ,Other,Residence,Other,Residence,Residence,,,,Double One Bedroom Residence,2
Standart,double twin ,Other,Residence,Other,Residence,Residence,,,,Double Or Twin One Bedroom Residence,2
Standart,double ,Other,Residence,Other,Residence,Residence,,,,Double The Pillars One Bedroom Residences,2
Standart,double ,Other,Residence,Other,Residence,Residence,,,,Double Two Bedrooms Residence,2
Standart,Other,Other,Residence,Other,Residence,Residence,,,,One Bedroom Residence,2
Standart,Other,Other,Residence,Other,Residence,Residence,,,,One Bedroom Residensi,2
shared ,Other,Other,Residence,Other,Residence,Residence,,,,One-Bedroom Residensi,2
Standart,Other,Other,Residence,Other,Residence,Residence,,,,Poste Residence Room,2
Standart,Other,Other,Residence,Other,Residence,Residence,,,,2 Bedroom Residence,2
Standart,Other,Other,Residence,Other,Residence,Residence,,,,2 Bedroom Residence.,2
Standart,double twin ,Other,Residence,Other,Residence,Residence,,,,Double Or Twin Two Bedrooms Residence,2
Standart,Other,Other,residence ,Other,Residence,Residence,,,,Two Bedroom Residence,2
Standart,Other,Other,Residence deluxe  ,Other,Residence deluxe  ,Residence,,,,1 Bedroom Deluxe Residence,2
Standart,Other,Other,residence suite ,Other,residence suite ,Residence,,,,Suite - Residence,2
Standart,Other,Other,superior Residence,Other,superior Residence,Residence,,,,1 Bedroom Superior Residence,2
Standart,double ,Other,executive ,Other,Executive Studio,Studio,,,,Double Executive Studio,1
Standart,double ,Other,executive ,Other,Executive Studio,Studio,,,,Double Studio Executive,1
Standart,double ,Other,executive ,Other,Executive Studio,Studio,,,,Double Studio-Executive,1
Standart,double ,Other,executive ,Other,Executive Studio,Studio,,,,Studio Executive Double,1
Standart,double twin ,Other,executive ,Other,Executive Studio,Studio,,,,Double Or Twin Studio Executive,1
Standart,double twin ,Other,executive ,Other,Executive Studio,Studio,,,,Double/Twin Studio-Executive,1
Standart,single ,Other,executive ,Other,Executive Studio,Studio,,,,"Executive Studio, 2 Single Beds, Kitchen",1
Standart,triple ,Other,executive ,Other,Executive Studio,Studio,,,,Executive Triple Studio,1
Standart,twin ,Other,executive ,Other,Executive Studio,Studio,,,,Executive Twin Studio,1
Standart,twin ,Other,executive ,Other,Executive Studio,Studio,,,,Studio Executive Twin,1
Standart,Other,Other,executive ,Other,Executive Studio,Studio,,,,"Executive Studio, 1 King Bed",1
Standart,Other,Other,executive ,Other,Executive Studio,Studio,,,,"Executive Studio, 2 Single Beds",1
Standart,Other,king ,executive ,Other,Executive Studio,Studio,,,,Executive King Studio,1
Standart,Other,king ,executive ,Other,Executive Studio,Studio,,,,Executive King Studio 1 King Bed & Sofa Bed,1
Standart,Other,queen ,executive ,Other,Executive Studio,Studio,,,,"Executive Studio, 1 Queen Bed, Kitchen",1
Standart,Other,Other,deluxe ,Other,Grand Deluxe Studio,Studio,,,,"Grand Deluxe Studio, 1 Double Bed",1
Standart,Other,Other,Other,Other,Luxury Studio,Studio,,,,Studio - Luxury,1
Standart,twin ,Other,Other,Other,Standard Studio,Studio,,,,Standard Studio (Twin),1
Standart,twin ,Other,Other,Other,Standard Studio,Studio,,,,Standard Studio Twin,1
Standart,twin ,Other,Other,Other,Standard Studio,Studio,,,,Standard Studio Twin Bed Room,1
Standart,Other,Other,studio club ,Other,studio club ,Studio,,,,So Studio 1 King Bed Club Access,2
Standart,Other,queen ,deluxe ,Other,Studio Deluxe,Studio,,,,Deluxe Queen Studio,1
Standart,twin ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Twin Deluxe Studio,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Grand Deluxe Studio,2
Standart,double ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Double Deluxe Studio,2
Standart,twin ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Twin Studio,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe King Studio,2
Standart,double ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Double Studio,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio (45sqm),2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio (Checkin 8am - 8pm),2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio (Tower-A).,2
Standart,Other,king ,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio King Bed,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio Room,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio Suite,2
Standart,twin ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio Twin,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio With Balcony,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio With Breakfast,2
Standart,Other,queen ,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio With Queen Bed,2
Standart,twin ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio With Twin Bed,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,"Deluxe Studio, 1 Bedroom",2
Standart,double ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,"Deluxe Studio, 1 Double Bed",2
Standart,Other,king ,Studio Deluxe,Other,Studio Deluxe,Studio,,,,"Deluxe Studio, 1 King Bed",2
Standart,Other,king ,Studio Deluxe,Other,Studio Deluxe,Studio,,,,"Deluxe Studio, 1 King Bed, Accessible, Non Smoking",2
Standart,Other,king ,Studio Deluxe,Other,Studio Deluxe,Studio,,,,"Deluxe Studio, 1 King Bed, Kitchen",2
Standart,Other,queen ,Studio Deluxe,Other,Studio Deluxe,Studio,,,,"Deluxe Studio, 1 Queen Bed",2
Standart,Other,Other,Studio Deluxe,city ,Studio Deluxe,Studio,,,,"Deluxe Studio, Balcony, City View",2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,"Deluxe Studio, Sauna",2
Standart,twin ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,"Deluxe Studio, Twin Bed",2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe Studio.,2
pool ,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Deluxe (Studio),2
Standart,double ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Double Deluxe-Studio,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio - Deluxe,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio - Suite - Deluxe,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe  New,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe (45 Sq.m.),2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe (Tower B),2
Standart,double ,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe Double,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe King,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe Queen,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe Queen Bed,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe Room,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Studio Deluxe With Balcony,2
Standart,Other,Other,Studio Deluxe,Other,Studio Deluxe,Studio,,,,Super Deluxe Studio,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Exclusive Studio,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Executive Premier Three-Bedroom Studio,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Executive Studio,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Executive Studio King,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Executive Studio Suite,2
Standart,twin ,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Executive Studio Twin,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,"Executive Studio, 1 King Bed",2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,"Executive Studio, 1 King Bed, Kitchen",2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,"Executive Studio, 1 King Bed, Kitchenette (Bathtub)",2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,"Executive Studio, 1 King Bed, Lake View",2
Standart,Other,Other,Studio Exclusive,city ,Studio Exclusive,Studio,,,,"Executive Studio, Balcony, City View",2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,"Executive Studio, Kitchen",2
Standart,twin ,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Executive Twin Studio,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Executive King Studio,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Executive King Studio With Pool View,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,The Pillars Executive Studio Residences,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio - Executive,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio - Executive - Club Room,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio - Suite - Executive,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio (Executive Suite),2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio Executive,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio Executive + Breakfast,2
Standart,Other,Other,Studio Exclusive,city ,Studio Exclusive,Studio,,,,Studio Executive City View,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio Executive King,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio Executive King Bed,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio Executive Room,2
Standart,twin ,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio Executive Twin,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio Suite With Free Executive Lounge,2
Standart,Other,Other,Studio Exclusive,Other,Studio Exclusive,Studio,,,,Studio The Pillars Executive Residences,2
Standart,Other,Other,executive ,Other,Studio Executive,Studio,,,,Studio Executive,1
Standart,Other,Other,Studio family  ,Other,Studio family  ,Studio,,,,Family Studio,2
Standart,Other,Other,Studio family  ,Other,Studio family  ,Studio,,,,Family Studio (2-4 Adults),2
Standart,Other,Other,Studio family  ,Other,Studio family  ,Studio,,,,Family Studio With Minibar,2
Standart,Other,Other,Studio Luxury  ,Other,Studio Luxury  ,Studio,,,,Studio - Luxury,2
Standart,Other,Other,Studio Luxury  ,Other,Studio Luxury  ,Studio,,,,Luxury Studio,2
Standart,Other,Other,premier ,Other,Studio Premier,Studio,,,,Studio Premier,1
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,(Premier Floor) 1 Bedroom Studio,2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Premier Floor 1-Bedroom Studio,2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,1 Bedroom Studio (Premier Floor),2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Premier Studio,2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Premier Studio Apartment,2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Premier Studio King (Non-Smoking),2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Premier Studio Room,2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Premier Studio With Balcony,2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,"Premier Studio, 1 Bedroom, Kitchen",2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,"Premier Studio, 1 King Bed",2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,"Premier Studio, 1 King Bed With Balcony",2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,"Premier Studio, 1 King Bed, Kitchen",2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,"Premier Studio, 1 King Bed, Lake View",2
Standart,Other,Other,Studio premier ,city ,Studio Premier,Studio,,,,"Premier Studio, Balcony, City View",2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Premier Studio.,2
Standart,double ,Other,Studio premier ,Other,Studio Premier,Studio,,,,Double Premier Studio,2
Standart,double ,Other,Studio premier ,Other,Studio Premier,Studio,,,,Double Premier-Studio,2
Standart,double ,Other,Studio premier ,Other,Studio Premier,Studio,,,,Double Studio Premier,2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Studio - Premier,2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Studio Premier,2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Studio Premier (Tower A),2
Standart,Other,Other,Studio premier ,Other,Studio Premier,Studio,,,,Studio Premier Room,2
Standart,Other,Other,Studio premium ,Other,Studio premium ,Studio,,,,Premium Studio,2
Standart,Other,Other,Studio premium ,Other,Studio premium ,Studio,,,,Studio - Premium,2
Standart,Other,Other,Studio premium ,Other,Studio premium ,Studio,,,,Studio Premium,2
Standart,Other,Other,Other,Other,Studio Standard,Studio,,,,Standard Studio,1
Standart,Other,Other,Other,Other,Studio Standard,Studio,,,,Standard Studio (2 Adults),1
Standart,Other,Other,Other,Other,Studio Standard,Studio,,,,Standard Studio 1,1
Standart,Other,Other,Other,Other,Studio Standard,Studio,,,,Standard Studio 2,1
Standart,Other,Other,Other,Other,Studio Standard,Studio,,,,Standard Studio 5,1
Standart,Other,Other,Other,Other,Studio Standard,Studio,,,,Studio Standard,1
Standart,Other,Other,Other,Other,Studio Standard,Studio,,,,Studio Standard Fl. 2 - 4,1
Standart,single ,Other,suite ,Other,Studio Suite,Studio,,,,Studio Suite Single,1
Standart,Other,Other,suite ,City,Studio Suite,Studio,,,,"City Studio Suite, 1 Queen Bed, Balcony, City View",1
Standart,Other,Other,suite ,Other,Studio Suite,Studio,,,,Studio - Suite,1
Standart,Other,Other,suite ,Other,Studio Suite,Studio,,,,Studio Suite,1
Standart,Other,Other,suite ,Other,Studio Suite,Studio,,,,Studio Suite Twin,1
Standart,Other,Other,suite ,Other,Studio Suite,Studio,,,,Studio Suite.,1
Standart,Other,king ,suite ,Other,Studio Suite,Studio,,,,"Studio Suite, 1 King Bed",1
Standart,Other,queen ,suite ,Other,Studio Suite,Studio,,,,Studio Suite (1 Queen Bed),1
Standart,Other,queen ,suite ,Other,Studio Suite,Studio,,,,Studio Suite (2 Queen Bed),1
Standart,double ,Other,studio suite ,Other,Studio Suite,Studio,,,,Double Cutler Suite Studio,2
Standart,double ,Other,studio suite ,Other,Studio Suite,Studio,,,,Double Parklane Split-Level Studio Suite,2
Standart,double ,Other,studio suite ,Other,Studio Suite,Studio,,,,Double Studio Suite,2
Standart,Other,Other,studio suite ,city ,Studio Suite,Studio,,,,Studio - Suite - City View,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio - Suite - Club Room,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio - Suite - Loft,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio Junior Suite,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio Kitchenette Suite,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio Suite (4 Persons),2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio Suite (Cutler),2
Standart,double ,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio Suite Double,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio Suite With Balcony,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio Suite With Breakfast,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio Suite With King Bed,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Studio Suite With Kitchenette,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Suite 1 Bedroom - Studio - Club Room,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Suite 1 Bedroom - Studio - Corner,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Suite 1 Bedroom Studio,2
Standart,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Suite Studio,2
pool ,Other,Other,studio suite ,Other,Studio Suite,Studio,,,,Suite Studio Suite,2
pool ,twin ,Other,studio suite ,Other,Studio Suite,Studio,,,,Twin Cutler Suite Studio,2
pool ,double ,Other,Studio Superior,Other,Studio Superior,Studio,,,,Double Superior Studio,2
pool ,double ,Other,Studio Superior,Other,Studio Superior,Studio,,,,Double Superior-Studio,2
pool ,double twin ,Other,Studio Superior,Other,Studio Superior,Studio,,,,Double/Twin Superior-Studio,2
pool ,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Balcony View Studio,2
pool ,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio,2
pool ,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio (Tower-A).,2
pool ,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio A (Checkin 8am - 8pm),2
pool ,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio Apartment,2
pool ,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio B (Checkin 8am - 8pm),2
Standart,double ,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio Double Bed,2
Standart,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio Queen Bed Room,2
Standart,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio With  Balcony,2
Standart,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio With Balcony,2
Standart,twin ,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio With Twin Bed,2
Standart,double twin ,Other,Studio Superior,Other,Studio Superior,Studio,,,,"Superior Studio, 1 Double Or 2 Twin Beds",2
Standart,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,"Superior Studio, 1 King Bed",2
Standart,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Superior Studio.,2
Standart,double twin ,Other,Studio Superior,Other,Studio Superior,Studio,,,,Double Or Twin Superior Studio,2
Standart,double twin ,Other,Studio Superior,Other,Studio Superior,Studio,,,,Double Or Twin Superior-Studio,2
Standart,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Studio - Superior,2
Standart,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Studio One Bedroom Superior,2
Standart,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Studio Superior,2
Standart,Other,Other,Studio Superior,Other,Studio Superior,Studio,,,,Studio Superior One Bedroom,2
Standart,twin ,Other,Studio Superior,Other,Studio Superior,Studio,,,,Studio Superior Twin,2
Standart,double ,Other,superior ,Other,Superior Studio,Studio,,,,Studio Superior Double,1
Standart,double twin ,Other,superior ,Other,Superior Studio,Studio,,,,Double Or Twin Superior Studio,1
Standart,twin ,Other,superior ,Other,Superior Studio,Studio,,,,Superior Studio - Twin Bed,1
Standart,twin ,Other,superior ,Other,Superior Studio,Studio,,,,Superior Studio Twin Bed Room,1
Standart,Other,king ,superior ,Other,Superior Studio,Studio,,,,Studio Superior King,1
Standart,Other,king ,superior ,Other,Superior Studio,Studio,,,,Superior Studio King,1
Standart,Other,king ,superior ,Other,Superior Studio,Studio,,,,"Superior Studio, 1 King Bed",1
Standart,Other,queen ,superior ,Other,Superior Studio,Studio,,,,Superior Studio - Queen Bed,1
Standart,Other,Other,superior suite ,Other,Superior Studio,Studio,,,,Superior Studio Suite,1
Standart,Other,Other,superior suite ,Other,Superior Studio,Studio,,,,"Superior Studio Suite, 1 King Bed",1
Standart,Other,Other,superior suite ,Other,Superior Studio,Studio,,,,"Superior Studio Suite, Balcony",1
Standart,Other,Other,Superior studio ,Other,Superior studio ,Studio,,,,Superior (Studio),2
Standart,Other,Other,superior ,Other,Superior Studio Apartment,Studio,,,,Superior Studio Apartment,1
Standart,Other,Other,deluxe ,Other,Deluxe Villa,Villa,,,,Deluxe Villa With Breakfast,1
Standart,Other,Other,deluxe ,Garden,Deluxe Villa,Villa,,,,"Deluxe Villa, 1 Double Bed, Garden View, Garden Area",1
Standart,Other,Other,deluxe ,Other,Deluxe Villa,Villa,,,,Villa - Deluxe,1
Standart,Other,Other,executive ,Other,Executive Pool Villa,Villa,,,,Executive Pool Villa,1
Standart,Other,Other,executive ,Other,Executive Pool Villa,Villa,,,,Villa - Executive - Pool,1
pool ,Other,Other,executive ,Other,Executive Villa,Villa,,,,Villa - Executive,1
Standart,Other,Other,Other,Other,Family Villa,Villa,,,,Family Villa,1
Standart,Other,Other,Other,Lake,Family Villa,Villa,,,,"Family Villa, 6 Bedrooms, Private Pool, Lake View",1
Standart,Other,Other,Other,Other,Family Villa,Villa,,,,"Family Villa, Private Pool",1
