,bedType,bed,roomType,view,master_room_type,,,room_name,stt
club ,twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Club Deluxe Twin,2
club ,twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Club Deluxe Twin Room,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Club Executive Deluxe,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Club Floor 2-Bedroom Deluxe Suite,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Club Sanook Deluxe With Benefits,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Crystal Club Deluxe With Extra Benefits,2
club ,double ,Other,Club deluxe ,Other,Club deluxe ,Club,,Double Club Deluxe,2
club ,double twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Double Or Twin Club Deluxe,2
club ,double twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Double Or Twin Club Deluxe River View,2
club ,double twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Double Or Twin World Club Room Deluxe,2
club ,double ,Other,Club deluxe ,Other,Club deluxe ,Club,,Double Orchid Club Deluxe,2
club ,double ,Other,Club deluxe ,Other,Club deluxe ,Club,,Double Room - Deluxe - Club Room,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Orchid Club Deluxe,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Orchid Club Deluxe Room,2
club ,twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Twin Club Deluxe,2
club ,twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Twin Orchid Club Deluxe,2
club ,twin double ,Other,Club deluxe ,Other,Club deluxe ,Club,,Twin/Double Room - Deluxe - Club Room,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,World Club Deluxe,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,(Club Floor) 1 Bedroom Deluxe,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,(Club Floor) 2 Bedroom Deluxe,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,(West Wing) Club Deluxe,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Deluxe Club,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Deluxe Club Business Lounge Access,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Deluxe Club Room,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Deluxe Club Room With Breakfast,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Deluxe Club With Breakfast,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,"Deluxe Club, Business Lounge Access",2
club ,double twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Double/Twin Deluxe-Club Room,2
club ,double twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Double/Twin World-Club Room-Deluxe,2
club ,triple ,Other,Club deluxe ,Other,Club deluxe ,Club,,Triple Room - Deluxe - Club Room,2
club ,twin ,Other,Club deluxe ,Other,Club deluxe ,Club,,Twin Room - Deluxe - Club Room,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Royal Club Room,2
club club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Royal Club Room With Club Lounge Access,2
club ,Other,Other,Club deluxe ,Other,Club deluxe ,Club,,Royale Club,2
club ,double ,Other,Club executive ,Other,Club executive ,Club,,Double Club Executive,2
club ,double twin ,Other,Club executive ,Other,Club executive ,Club,,"Club Double Or Twin Room, 1 Bedroom, Business Lounge Access, Executive Level",2
club ,Other,Other,Club executive ,Other,Club executive ,Club,,Club Grand Executive,2
club ,double ,Other,Club executive ,Other,Club executive ,Club,,Double Courtyard Executive Club,2
club ,double twin ,Other,Club executive ,Other,Club executive ,Club,,Double Or Twin Club Executive,2
club ,double twin ,Other,Club executive ,Other,Club executive ,Club,,Double Or Twin Executive-Club Room,2
club ,double ,Other,Club executive ,Other,Club executive ,Club,,Double Room - Executive - Club Room,2
club ,twin double ,Other,Club executive ,Other,Club executive ,Club,,Twin/Double Room - Club Room - Executive,2
club ,twin double ,Other,Club executive ,city ,Club executive ,Club,,Twin/Double Room - Club Room - Executive - City View,2
club ,Other,Other,Club executive ,Other,Club executive ,Club,,Executive Club,2
club ,Other,Other,Club executive ,Other,Club executive ,Club,,Executive Club Room,2
club ,Other,Other,Club executive ,Other,Club executive ,Club,,Executive Club Room King Bed,2
club ,Other,Other,Club executive ,Other,Club executive ,Club,,Executive Club Room With Breakfast,2
club ,Other,Other,Club executive ,Other,Club executive ,Club,,Executive Club.,2
club ,Other,Other,Club executive ,Other,Club executive ,Club,,Executive Room With Club Benefits,2
club ,Other,Other,Club executive ,Other,Club executive ,Club,,Executive With Club Benefits,2
club ,double ,Other,Club premier ,Other,Club Premier,Club,,Double Club Premier,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,Club Premier,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,Club Premier  Suite,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,Club Premier Room,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,Club Premier Suite,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,Crystal Club Premier With Extra Benefits,2
club ,double twin ,Other,Club premier ,Other,Club Premier,Club,,Double Or Twin Club Premier,2
club ,double twin ,Other,Club premier ,Other,Club Premier,Club,,Double Or Twin Club-Premier,2
club ,double twin ,Other,Club premier ,Other,Club Premier,Club,,Double Or Twin Meritus Club Premier,2
club ,double twin ,Other,Club premier ,Other,Club Premier,Club,,Double Or Twin Premier Club,2
club ,double ,Other,Club premier ,Other,Club Premier,Club,,Double Orchid Club Premier,2
club ,double ,Other,Club premier ,Other,Club Premier,Club,,Double Room - Premier - Club Room,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,Orchid Club Premier,2
club ,twin ,Other,Club premier ,Other,Club Premier,Club,,Twin Club Premier,2
club ,twin ,Other,Club premier ,Other,Club Premier,Club,,Twin Room - Premier - Club Room,2
club ,twin double ,Other,Club premier ,Other,Club Premier,Club,,Twin/Double Room - Club Room - Premier,2
club ,triple ,Other,Club premier ,Other,Club Premier,Club,,Triple Room - Premier - Club Room,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,(Club Floor) 1 Bedroom Premier,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,(Club Floor) 2 Bedroom Premier,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,Premier Club,2
club ,Other,Other,Club premier ,Other,Club Premier,Club,,Premier Club Room,2
family ,Other,Other,Club premier ,Other,Club Premier,Club,,Premier Dualistic Family Room,2
club ,double ,Other,Club premium ,Other,Club premium ,Club,,Double Club Room-Premium-World,2
club ,twin double ,Other,Club premium ,Other,Club premium ,Club,,Twin/Double Room - Club Room - Premium - Corner,2
club ,Other,Other,Club premium ,Other,Club premium ,Club,,Premium Club Corner Room,2
club ,Other,Other,Club premium ,Other,Club premium ,Club,,Premium Club Deluxe Suite Room,2
club studio ,Other,Other,Club studio,Other,Club studio,Club,,Club Floor 1-Bedroom Studio,2
club studio ,Other,Other,Club studio,Other,Club studio,Club,,(Club Floor) 1 Bedroom Studio,2
club studio ,Other,Other,Club studio,Other,Club studio,Club,,Club Studio Suite,2
club studio ,double twin ,Other,Club studio,Other,Club studio,Club,,Double Or Twin Pacific Club Studio,2
club family club ,Other,Other,Club suite ,Other,Club suite ,Club,,Club Family Suite - Free Club Access,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Club Floor 3-Bedroom Suite,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Club Junior Suite,2
club club ,twin ,Other,Club suite ,Other,Club suite ,Club,,Club Junior Suite With Twin Bed - Club Lounge Access For Adults Only,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Club Suite,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Club Suite With Breakfast,2
club club ,Other,Other,Club suite ,Other,Club suite ,Club,,Club Suite With Club Access,2
club ,double ,Other,Club suite ,Other,Club suite ,Club,,Double Club Suite,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Pacific Club Suite,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,So Lofty Suite With Club Benefits,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite - Club,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite 1 Bedroom - Club,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite 2 Bedrooms - Club,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite 2 Bedrooms-Tower Club Signature Room,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite Club,2
club ,Other,Other,Club suite ,city ,Club suite ,Club,,Suite Club City View,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite Pacific Club,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite Tower Club Riverview,2
club ,Other,Other,Club suite ,city ,Club suite ,Club,,Suite Tower Club Room City View,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite Tower Club Room River View,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite Two Bedrooms Tower Club Signature Room,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite Club Premier,2
club ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite Club River View,2
club studio ,Other,Other,Club suite ,Other,Club suite ,Club,,Suite Club Studio Suite,2
club ,Other,Other,Club superior ,Other,Club superior ,Club,,Superior Club,2
club ,Other,Other,Club superior ,Other,Club superior ,Club,,Club Superior,2
condo ,Other,Other,Condo,Other,Condo,Condo,,2 Bedroom Condo,2
condo ,Other,Other,Condo,Other,Condo,Condo,,3 Bedroom Condo,2
condo ,Other,Other,Condo,city ,Condo,Condo,,"Deluxe Condo, 3 Bedrooms, City View, Tower",2
Standart,double twin ,Other,Deluxe,River,Deluxe,,,Double Or Twin Krungthep River View,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,One Bedroom Deluxe Residensi,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Platinum Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,1 B/R Deluxe (55 Sq.m.),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,1 Bed Room Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,1 Br Deluxe (Tower B),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,1 Deluxe Room,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,1 King Bed Deluxe,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,1 King Bed Deluxe Room,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,1 King Bed Deluxe Room Nonsmoking,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,1 King Bed Deluxe Room Smoking,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,1 King Deluxe,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,1 King Deluxe Nonsmoking,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,2 B/R Deluxe (93 Sq.m.),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,2 Bedroom  Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,2 Bedroom Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,2 Bedroom Deluxe + Breakfast,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,2 Br Deluxe (Tower B),2
Standart,twin ,Other,Deluxe,Other,Deluxe,,,2 Twin Beds Deluxe Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,3 Bedroom Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,4 Bedroom Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,4 Bedrooms Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Amber Deluxe Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Ansa Deluxe Room,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,Art King Deluxe,2
Standart,twin ,Other,Deluxe,Other,Deluxe,,,Art Twin Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Balcony Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Balcony Deluxe 1 (4beds),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Balcony Deluxe Room,2
Standart,triple ,Other,Deluxe,Other,Deluxe,,,Balcony Deluxe Triple,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Boutique Deluxe Aqua View,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Boutique Deluxe Garden View,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Capitol Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Centra Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Chalet - Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Charlie Deluxe,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Charlie Deluxe Double Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Classcic Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Corner Deluxe With Breakfast For 2 Persons,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Corporate Deluxe,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Cozy Deluxe,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Cozy Deluxe Double Or Twin Room,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Delulxe Double Room,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Delux Double Or Twin Room,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Delux Double Room,2
Standart,twin ,Other,Deluxe,Other,Deluxe,,,Delux Twin Room,2
Standart,double double ,Other,Deluxe,Other,Deluxe,,,Deluxaroo - Double Double,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe  Balcony,2
Standart,Other,queen ,Deluxe,Other,Deluxe,,,Deluxe - 1 Queen Bed,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - 24 Hours,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - 3 Persons,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Airport Pickup And Free Wi-Fi Included,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - B,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Balcony,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Bed And Breakfast,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Boutique,2
Standart,Other,Other,Deluxe,city ,Deluxe,,,Deluxe - City View,2
Standart,Other,king ,Deluxe,city ,Deluxe,,,Deluxe - City View King Bed,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Early Bird Saving,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Free Airport Transfer,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Free Internet,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Free Roundtrip Transfer,2
Standart,Other,Other,Deluxe,Garden,Deluxe,,,Deluxe - Garden View,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,Deluxe - King Bed,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - M,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Max. 3 Pax In Total,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Meal Package,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Newly Renovated,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Non-Smoking,2
Standart,Other,Other,Deluxe,River,Deluxe,,,Deluxe - River View,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe - Room Only,2
Standart,triple ,Other,Deluxe,Other,Deluxe,,,Deluxe - Triple Occupancy,2
Standart,Other,queen ,Deluxe,Other,Deluxe,,,Deluxe ( Queen Size Bed ),2
Standart,twin ,Other,Deluxe,Other,Deluxe,,,Deluxe ( Twin Bed ),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe (4 Persons),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe (Classy).,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe (Double Bed),2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe (Double/Twin),2
Standart,Other,king ,Deluxe,Other,Deluxe,,,Deluxe (King Bed),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe (Maximum 2 Adults),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe (Roh),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe (Room Only),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe (Shangrila Wing),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe (The Grand Courtyard),2
Standart,twin ,Other,Deluxe,Other,Deluxe,,,Deluxe (Twin Beds),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe (With Window),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe @ Orchard,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe + Breakfast,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe + Free Round Trip Airport Transfer,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe + Round Trip Transfer,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 1,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 1 Bed Room,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe 1 Double Bed,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,Deluxe 1 King Bed,2
Standart,Other,queen ,Deluxe,Other,Deluxe,,,Deluxe 1 Queen Bed,2
Standart,single ,queen ,Deluxe,Other,Deluxe,,,Deluxe 1 Queen Or 2 Single Beds,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 1-Bedroom,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 1king/2twin Room,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe 2  Double Bed Smoking,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 2 Bed Room,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe 2 Double Bed Non-Smoking,2
Standart,Other,queen ,Deluxe,Other,Deluxe,,,Deluxe 2 Queen Bed Non-Smoking,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 24 Hrs. Stay,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 3 Pax,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 4,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 47 With Breakfast,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 5,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe 6 Bedded Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe A,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Airport View,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe All Inclusive,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Balcony,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Balcony (Shangrila Wing),2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Balcony + Breakfast,2
Standart,Other,Other,Deluxe,city ,Deluxe,,,Deluxe Balcony City View,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Balcony Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Balcony Room Only,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Bathtub,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Boutique,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Boutique Bicycle Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Bungalow,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Bungalow 3 Persons,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Bungalow 4 Persons,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Bunk Bed,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Canal,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Canal Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Canal View,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Canal View Include Breakfast,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Chalet,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Chic,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Chic Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Chill Room,2
Standart,Other,Other,Deluxe,city ,Deluxe,,,Deluxe City,2
Standart,Other,Other,Deluxe,city ,Deluxe,,,Deluxe City Room,2
Standart,Other,Other,Deluxe,city ,Deluxe,,,Deluxe City View,2
Standart,double ,Other,Deluxe,city ,Deluxe,,,Deluxe City View - Double,2
Standart,single ,Other,Deluxe,city ,Deluxe,,,Deluxe City View - Single,2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,Deluxe City View (Double Or Twin),2
Standart,Other,Other,Deluxe,city ,Deluxe,,,Deluxe City View Balcony,2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,Deluxe City View Double Or Twin,2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,Deluxe City View Double Or Twin Bed,2
Standart,Other,Other,Deluxe,city ,Deluxe,,,Deluxe City View Room,2
Standart,Other,king ,Deluxe,city ,Deluxe,,,Deluxe City View Room King,2
Standart,twin ,Other,Deluxe,city ,Deluxe,,,Deluxe City View Room Twin,2
Standart,Other,Other,Deluxe,city ,Deluxe,,,Deluxe City View With Balcony,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Connecting Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Corner,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Corner Balcony,2
Standart,Other,king ,Deluxe,Other,Deluxe,,,Deluxe Corner King,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Corner River View With Breakfast,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Corner Room,2
Standart,twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Corner Twin,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Cottage,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Cozy Double/Twin Room,2
Standart,Other,Other,Deluxe,Other,Deluxe,,,Deluxe Designer,2
Standart,double ,king ,Deluxe,Other,Deluxe,,,Deluxe Double - 1 King Bed,2
Standart,double double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double (1 Double Bed),2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double (Free 2 Ways Airport Transfer),2
Standart,double ,Other,Deluxe,Other,Deluxe,,,"Deluxe Double (Private Room With Bathroom, No Window)",2
Standart,double ,Other,Deluxe,city ,Deluxe,,,Deluxe Double Balcony City View,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Bed,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Bed - Free Round Trip Transfers,2
Standart,double ,Other,Deluxe,city ,Deluxe,,,Deluxe Double Bed (City View),2
Standart,double ,Other,Deluxe,city ,Deluxe,,,Deluxe Double Bed City View,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Bed Non-Smoking,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Bed Private,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Bed Room,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Bed With Balcony,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Bed With Breakfast,2
shared ,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Bedroom Shared Bathroom,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Bungalow,2
Standart,double ,Other,Deluxe,city ,Deluxe,,,Deluxe Double City View,2
Standart,double ,Other,Deluxe,city ,Deluxe,,,Deluxe Double City View - 33 Square Metres,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Day Use Only 9am-6pm No Transfer,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Included Breakfast,2
Standart,double ,king ,Deluxe,Other,Deluxe,,,Deluxe Double King,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Loft Room,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double No Window,2
Standart,double ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Non-Smoking,2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,Deluxe Double Or Twin - City View,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Or Twin Church View,2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,Deluxe Double Or Twin City View,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Or Twin Room,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Or Twin Room – Internal Window,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Or Twin Room (Inner Window),2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,Deluxe Double Or Twin Room (With Balcony Or City View),2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Or Twin Room (With Window),2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,Deluxe Double Or Twin Room City View,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Or Twin Room With Balcony,2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,Deluxe Double Or Twin Room With City View,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Or Twin Room With Wifi,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,Deluxe Double Or Twin Room With Window,2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,"Deluxe Double Or Twin Room, 1 Bedroom",2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,"Deluxe Double Or Twin Room, 1 Bedroom, Balcony, City View",2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,"Deluxe Double Or Twin Room, 1 Bedroom, Bathtub, Poolside",2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,"Deluxe Double Or Twin Room, 1 Bedroom, City View",2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,"Deluxe Double Or Twin Room, 1 Bedroom, Ensuite, City View",2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,"Deluxe Double Or Twin Room, 1 Bedroom, Non Smoking, City View",2
Standart,double twin double twin ,Other,Deluxe,Other,Deluxe,,,"Deluxe Double Or Twin Room, 1 Double Or 2 Twin Beds",2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,"Deluxe Double Or Twin Room, Accessible, City View",2
Standart,double twin ,Other,Deluxe,Other,Deluxe,,,"Deluxe Double Or Twin Room, Balcony",2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,"Deluxe Double Or Twin Room, City View",2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,"Deluxe Double Or Twin Room, City View (With Windows)",2
Standart,double twin ,Other,Deluxe,city ,Deluxe,,,"Deluxe Double Or Twin Room, City View, Lakeside",2
