bedType,bed,roomType,view,master_room_type,room_name,
,queen ,executive suite ,,Executive Suite,Executive Queen Suite,
,queen ,executive suite ,,Executive Suite,"Executive Suite, 1 Queen Bed",
double ,,executive superior ,,Executive Superior,Double Room - Executive - Superior,
double twin ,,executive superior ,,Executive Superior,Twin/Double Room - Executive - Superior,
twin ,,executive superior ,,Executive Superior,Twin Room - Executive - Superior,
,,executive superior ,,Executive Superior,Executive Superior,
,,executive superior ,,Executive Superior,Superior Executive,
,,executive ,,Executive Villa,Villa - Executive,
double ,,,,Family,"Family Double Room, 2 Bedrooms",
double ,,,,Family,"Family Room, 2 Double Beds",
double twin ,,,,Family,"Family Room, 1 Double Or 2 Twin Beds",
single ,queen ,,,Family,Family Room (One Queen And One Single Beds),
triple ,,,,Family,Family Triple,
triple ,,,,Family,Family Triple Room,
triple ,,,,Family,"Family Triple Room, 1 Bedroom",
twin ,,,,Family,"Family Room, 3 Twin Beds",
twin ,,,,Family,Twin Family Room,
,,,,Family,Family,
,,,,Family,Family 3 No Window,
,,,,Family,Family 4 No Window,
,,,,Family,Family Room,
,,,,Family,Family Room (4 Pax),
,,,,Family,Family Room 3,
,,,,Family,Family Room 4,
,,,,Family,"Family Room, Non Smoking",
,,,,Family,Family Room.,
,,quadruple ,,Family,"Family Quad, Non Smoking",
,,quadruple ,,Family,Family Quadruple Room,
,,quadruple ,,Family,"Family Quadruple Room, 2 Queen Beds",
,queen ,,,Family,Family Room (Queen),
,,,,Family,Family Standard,
double twin ,,deluxe ,,Family Deluxe,Double Or Twin Deluxe Family Room,
double twin ,,deluxe ,,Family Deluxe,Double Or Twin Eastin Family Deluxe,
double twin ,,deluxe ,,Family Deluxe,Twin/Double Room - Family - Deluxe,
,,deluxe ,,Family Deluxe,Deluxe Family,
,,deluxe ,,Family Deluxe,Family Deluxe,
,,deluxe ,,Family Deluxe,Family Deluxe Room,
,,suite ,,Family Duplex Suite,Family Suite (Duplex),
,,executive suite ,,Family Executive Suite,Family Executive Suite,
,,suite ,City,Family Suite,"Family Junior Suite, 1 Queen Bed, 1 Single Bed, City View",
,,penthouse ,City,Family Penthouse,"Family Penthouse, 2 Queen Beds, City View",
,,,,Family Pool Villa,Family Pool Villa,
,,,,Family Studio,Family Studio (Type A),
,queen ,deluxe ,,Family Studio,Deluxe Queen Family Studio,
double ,,suite ,City,Family Suite,"Family Suite, 2 Double Beds, Non Smoking, City View",
double twin ,,suite ,,Family Suite,Double Or Twin Family Room Suite,
double twin ,,suite ,,Family Suite,Double Or Twin Family Room-Suite,
double twin ,,suite ,,Family Suite,Family Suite (1 Double Room And 1 Twin-Beds Room),
double twin ,,suite ,,Family Suite,"Family Suite, 1 Double Or 2 Twin Beds",
,,suite ,,Family Suite,Family  Suite,
,,suite ,,Family Suite,Family Suite,
,,suite ,,Family Suite,"Family Suite, 3 Pax",
,,suite ,,Family Suite,Family Suite.,
,king ,suite ,,Family Suite,"Family Suite, 1 King Bed, Non Smoking, Connecting Rooms",
,queen ,suite ,City,Family Suite,"Family Suite, 2 Queen Beds, City View",
,,,,Family Villa,Family Villa,
,,,Lake,Family Villa,"Family Villa, 6 Bedrooms, Private Pool, Lake View",
,,,,Family Villa,"Family Villa, Private Pool",
,,,,Female Dormitory,"Basic Shared Dormitory, Women Only",
,,,,Female Dormitory,Female Dormitory,
double twin ,,,,Grand Club,Double Or Twin Club Grand,
double ,,deluxe ,,Grand Deluxe,Double Grand Deluxe,
double ,,deluxe ,,Grand Deluxe,"Grand Deluxe 2 Pax, 1 Double Bed",
double twin ,,deluxe ,,Grand Deluxe,Double Or Twin Grand Deluxe,
double twin ,,deluxe ,,Grand Deluxe,Double/Twin Grand-Deluxe Room,
triple ,,deluxe ,,Grand Deluxe,Triple Grand Deluxe,
twin ,,deluxe ,,Grand Deluxe,Twin Grand Deluxe,
,,deluxe ,,Grand Deluxe,Deluxe Room - Upgrade Promotion To Grand Deluxe Room,
,,deluxe ,,Grand Deluxe,Grand  Deluxe,
,,deluxe ,,Grand Deluxe,Grand Deluxe,
,,deluxe ,,Grand Deluxe,Grand Deluxe.,
,king ,,,Grand Deluxe,Grand Deluxe - King Bed (Ns),
,king ,,,Grand Deluxe,Grand Deluxe King,
,king ,,,Grand Deluxe,Grand Deluxe King Bed,
,queen ,,,Grand Deluxe,Premier Deluxe - King Bed (Ns),
,,classic ,,Grand Deluxe Classic,Grand Deluxe Classic,
double twin ,,executive ,,Grand Deluxe Executive,Double Or Twin Grand Deluxe Executive,
triple ,,executive ,,Grand Deluxe Executive,Triple Grand Deluxe Executive,
,,executive ,,Grand Deluxe Executive,Executive Grand Deluxe,
,,,,Grand Deluxe Family,Grand Deluxe Family Room,
,,deluxe ,,Grand Deluxe Studio,"Grand Deluxe Studio, 1 Double Bed",
,king ,executive ,,Grand Executive,Grand Executive King,
,,,,Grand Luxury,Grand Luxury,
,,,,Grand Pool Villa,Grand Pool Villa,
,,,,Grand Pool Villa,Villa - Grand - Pool,
,,,,Grand Pool Villa,Villa Grand Pool,
,king ,premium ,,Grand Premium Club,Opera Grand Premium Club King,
,king ,suite ,,Grand Suite,Grand Suite King,
,,,,Grand Villa,Grand Villa,
,,,,Grand Villa,Villa - Grand,
double ,,suite ,,Honeymoon Suite,Double Honeymoon Suite,
double twin ,,,,Horizon,Double Or Twin Horizon,
double twin ,,,,Horizon,Double Or Twin Horizon View Club Shangri La Wing,
,,,,Horizon,Horizon,
,,,,Horizon Club,Horizon Club,
,,,,Horizon Club,Horizon Club (Shangrila Wing),
,,deluxe ,,Horizon Club Deluxe,Horizon Club Deluxe,
double twin ,,executive ,,Horizon Club Executive,Double Or Twin Tower Wing Horizon Club Deluxe,
twin ,king ,executive ,,Horizon Club Executive,Horizon Club Executive (King/Twin),
twin ,,executive ,,Horizon Club Executive,Horizon Club Executive Twin,
,king ,executive ,,Horizon Club Executive,Horizon Club Executive King With Breakfast,
,,premier ,,Horizon Club Premier,Horizon Club Premier,
double twin ,,executive ,,Horizon Executive,Double Or Twin Horizon Executive,
,,,,Junior Deluxe,Junior Luxe With Complimentary Mini Bar,
double ,,Junior suite ,,Junior Suite,Double Junior Suite,
double ,,Junior suite ,,Junior Suite,Double Junior-Suite,
double twin ,,Junior suite ,,Junior Suite,Double Or Twin Junior Suite,
double twin ,,Junior suite ,,Junior Suite,"Junior Suite, 1 Double Or 2 Twin Beds",
twin ,,Junior suite ,,Junior Suite,Junior Suite Twin,
twin ,,Junior suite ,,Junior Suite,Junior Suite Twin Room,
twin ,,Junior suite ,,Junior Suite,"Junior Suite, 2 Twin Beds",
,,Junior suite ,,Junior Suite,Junior Suite,
,,Junior suite ,,Junior Suite,"Junior Suite, 1 King Bed (Tower Wing)",
,,Junior suite ,,Junior Suite,Junior Suite.,
,king ,Junior suite ,,Junior Suite,Junior Suite - 1 King Bed,
,king ,Junior suite ,,Junior Suite,Junior Suite King,
,king ,Junior suite ,,Junior Suite,"Junior Suite, 1 King Bed",
,queen ,Junior suite ,,Junior Suite,Junior Suite Queen Bed,
double ,,,,Luxury,Luxury Double Bed,
double twin ,,,,Luxury,Luxury Double Or Twin,
double twin ,,,,Luxury,Twin/Double Room - Luxury,
twin ,,,,Luxury,Luxury Twin Room,
twin ,,,,Luxury,Luxury Twin Studio,
,,,,Luxury,Luxury,
,,,,Luxury,Luxury Room,
,king ,,,Luxury,Luxury King Room,
,queen ,,,Luxury,"Luxury Room, 1 Queen Bed, View",
double ,,,,Luxury Club,Double Luxury Club Millesime,
double twin ,,,,Luxury Club,Twin/Double Room - Club Room - Luxury,
,,,,Luxury Club,Luxury Club,
,king ,,,Luxury Club,Double Room King Bed - Luxury - Club Room,
,king ,,,Luxury Club,Luxury King Room Club Millesime,
,,suite ,,Luxury Club Suite,Suite Tower Club Luxury 2 Bedrooms,
,,suite ,,Luxury Club Suite,Tower Club Luxury Suite 2 B/R,
,,,,Luxury Family,Family Room Luxury,
,,,,Luxury Studio,Studio - Luxury,
,,suite ,,Luxury Suite,Luxury 1-Bedroom Suite,
,,suite ,,Luxury Suite,Luxury Suite,
,,suite ,,Luxury Suite Family,Luxury Suite Family (Triple),
,,,,Penthouse,Penthouse,
,,,,Penthouse,Penthouse Room,
,,,,Penthouse,Penthouse Suite + Breakfast,
,king ,,,Penthouse,"Penthouse, 1 King Bed",
,king ,,,Penthouse,"Penthouse, 1 King Bed With Sofa Bed",
,,suite ,,Penthouse Suite,Penthouse Suite,
,,suite ,,Penthouse Suite,Penthouse Suite + Breakfast,
,,suite ,City,Penthouse Suite,Penthouse Suite City View,
,,suite ,,Penthouse Suite,Penthouse Suite King Room,
,,,,Pool Villa,3 Bedroom Pool Villa,
,,,,Pool Villa,Garden Villa - Pool,
,,,,Pool Villa,Sky Pool Villa,
,,,,Pool Villa,Sky Pool Villa (Tower Block),
,,,,Pool Villa,Villa - Garden - Pool,
,,,,Pool Villa,Villa Pool Courtyard,
double ,,premier ,,Premier,Double Room - Premier,
double ,,premier ,,Premier,Premier Double,
double ,king ,premier ,,Premier,Double Room King Bed - Premier,
double twin ,,premier ,,Premier,Double Or Twin Premier,
double twin ,,premier ,,Premier,Twin/Double Room - Premier,
triple ,,premier ,,Premier,Premier Triple Room,
twin ,,premier ,,Premier,Premier Twin,
twin ,,premier ,,Premier,Twin Premier,
twin ,,premier ,,Premier,Twin Room - Premier,
,,premier ,,Premier,1 Bedroom Premier,
,,premier ,,Premier,One Bedroom Premier,
,,premier ,,Premier,Premier,
,,premier ,,Premier,Premier Room,
,,premier ,,Premier,Premier Room.,
,,premier ,,Premier,Premier.,
,king ,premier ,,Premier,Premier King,
,king ,premier ,,Premier,"Premier Room, 1 King Bed",
,king ,premier ,City,Premier,"Premier Room, 1 King Bed, Private Bathroom, City View",
,queen ,premier ,,Premier,"Premier Room, 2 Queen Beds",
double ,,premier ,,Club Premier,Double Club Premier,
double twin ,,premier ,,Club Premier,Double Or Twin Club Premier,
twin ,,premier ,,Club Premier,Twin Club Premier,
twin ,,premier ,,Club Premier,Twin Room - Premier - Club Room,
,,premier deluxe suite ,,Premier Deluxe Suite,Premier Deluxe Suite,
triple ,,premier executive ,,Premier Executive,Triple Room - Executive - Premier,
,king ,premier executive ,,Premier Executive,Premier Executive 1 King Bed,
,,premier ,,Premier Family,Family Premier,
,,premier ,,Premier Family,Premier Family,
,,premier ,,Premier Pool Villa,Villa - Premier - Private Pool,
,,premier ,,Premier Studio,Premier Studio,
,,premier suite ,,Premier Studio Suite,Premier Studio Suite,
,,premier suite ,,Premier Suite,Premier Suite With Window,
,,premier suite ,,Premier Suite,Premier Suite Without Window,
,king ,premier suite ,,Premier Suite,Premier Suite King,
,,premier superior suite ,,Premier Superior Suite,Premier Superior Suite,
double ,,premium ,,Premium,Double Room - Premium,
double ,,premium ,,Premium,Premium Double,
double twin ,,premium ,,Premium,Double Or Twin Premium,
double twin ,,premium ,,Premium,Premium Double Or Twin,
double twin ,,premium ,,Premium,Twin/Double Room - Premium,
double twin ,,premium ,,Premium,Twin/Double Room - Premium - Corner,
twin ,,premium ,,Premium,Premium Zen Twin,
,,premium ,,Premium,Premium Room,
,,premium ,City,Premium,"Premium Room, City View",
,king ,premium ,,Premium,Double Room King Bed - Premium,
,king ,premium ,,Premium,"Premium Room, 1 King Bed",
double ,,premium ,,Premium Club,Double Club Premium,
double ,,premium ,,Premium Club,Double Room - Club Room - Premium,
double ,,premium ,City,Premium Club,Double Room - Club Room - Premium - City View,
double twin ,,premium ,,Premium Club,Double Or Twin Club Premium,
double twin ,,premium ,,Premium Club,Double Or Twin Premium Club Corner,
double twin ,,premium ,,Premium Club,Twin/Double Room - Club Room - Premium,
,,premium ,,Premium Club,Double Room - Club Room - Premium,
,,premium ,,Premium Club,Premium Club Room,
,,premium ,,Premium Club,World Club Premium,
double twin ,,premium deluxe ,,Premium Deluxe,Twin/double Room - Premium - Deluxe,
triple ,,premium deluxe ,,Premium Deluxe,Triple Room - Premium - Deluxe,
twin ,,premium deluxe ,,Premium Deluxe,Premium Deluxe Twin,
twin ,,premium deluxe ,,Premium Deluxe,Twin Room - Premium - Deluxe,
,king ,premium deluxe ,,Premium Deluxe,Premium Deluxe King Room - High Floor,
double single ,,premium executive ,,Premium Executive,"Premium Executive , 1 Double Or 2 Single Beds",
,,premium ,,Premium Family,Family Room (Premium Room),
,,premium ,,Premium Family,Family Room Premium Family Residence,
,,premium ,,Premium Family,Premium Family,
,,premium ,,Premium Family,Premium Family Residence,
,,premium ,,Premium Family,Premium Family Quad,
,,premium ,,Premium Pool Villa,Premium Pool Villa,
,,premium ,Sea,Premium Pool Villa,Premium Pool Villa - Sea View,
double twin ,,premium superior ,,Premium Superior,Twin/Double Room - Superior - Premium,
twin ,,premium superior ,,Premium Superior,Premium Superior Twin,
,,premium superior ,,Premium Superior,Superior Premium,
,,premium superior ,,Premium Superior,Superior Room (Premium Room),
double ,,,,Privilege,Double Privilege,
double ,,,,Privilege,Double Privilege Tower Wing,
double ,,,,Privilege,Double Privilege-Tower-Wing,
double twin ,,,,Privilege,Twin/Double Room - Privilege,
double twin ,,,,Privilege,Twin/double Room - Privilege - Tower,
twin ,,,,Privilege,Twin Privilege Room,
,,,,Privilege,Privilege Room,
,queen ,,,Privilege,Double Privilege Room Queen Size Bed,
,,suite ,,Privilege Suite,Privilege Suite,
,,suite ,,Privilege Suite,Suite - Privilege - Tower,
,,suite ,,Privilege Suite,Suite Privilege Suite Tower Wing,
,,quadruple ,,Quadruple,"Comfort Quadruple Room, 4 Bedrooms, No Windows",
,,quadruple ,,Quadruple,Quadruple Room,
single ,,,,Standard,Single - Private Bathroom,
single ,,,,Standard,Single - Room,
single ,,,,Standard,Single Room,
single ,queen ,,,Standard,Standard Room (1 Queen Or 2 Single Beds),
single ,,,,Standard,2 Single Beds Standard Smoking,
single ,,,,Standard,Standard - (2 Single Beds),
single ,,,,Standard,Standard 2 Single Beds,
single ,,,,Standard,Standard Room (2 Single Bed),
single ,,,,Standard,Standard Room 2 Single Bed,
single ,,,,Standard,Standard Room 2 Single Beds,
single ,,,,Standard,Standard Room With Two Single Beds,
single ,,,,Standard,"Standard Room, 2 Single Beds",
single ,,,,Standard,Standard Single  Room,
single ,,,,Standard,Standard Single Room,
single ,,,,Standard,Standard Two Single Bed,
triple ,,,,Standard,"Standard Room, Non Smoking (Triple Room)",
triple ,,,,Standard,Standard Triple Room,
twin ,,,,Standard,"Standard Room No Windows, 2 Twin Beds",
twin ,,,,Standard,"Standard Room, 2 Twin Beds",
twin ,,,,Standard,"Standard Room, 2 Twin Beds, Non Smoking",
twin ,,,,Standard,"Standard Room, Non Smoking (Twin)",
twin ,,,,Standard,Standard Twin (No Window),
twin ,,,,Standard,Standard Twin Room,
,,,,Standard,Standard,
,,,,Standard,Standard - Day Use Room 12 Hours,
,,,,Standard,Standard - Day Use Room 6 Hours,
,,,,Standard,Standard Room,
,,,,Standard,Standard Room (No Window),
,,,,Standard,Standard Room (Zen Room),
,,,,Standard,Standard Room With Window,
,,,,Standard,Standard Room Without Window,
,,,,Standard,"Standard Room, No Windows",
,,,,Standard,"Standard Room, No Windows, No View",
,,,,Standard,"Standard Room, Non Smoking",
,,,,Standard,Standard Room.,
,,,,Standard,Standard Window,
,king ,,,Standard,"Standard Room, 1 King Bed",
,king ,,,Standard,Superior King (No Window),
,queen ,,,Standard,Standard Queen,
,queen ,,,Standard,Standard Queen - No Window,
,queen ,,,Standard,Standard Queen Room,
,queen ,,,Standard,Standard Room With Queen Bed,
,queen ,,,Standard,"Standard Room, 1 Queen Bed",
,queen ,,,Standard,"Standard Room, 1 Queen Bed, No Windows",
,queen ,,,Standard,"Standard Room, 1 Queen Bed, Non Smoking",
,queen ,,,Standard,"Standard Single Room, 1 Queen Bed",
,queen ,,,Standard,"Standard, One Queen Bed",
,queen ,,,Standard,Superior Queen (No Window),
twin ,,deluxe ,,Standard Deluxe,Standard Deluxe Twin,
,king ,deluxe ,,Standard Deluxe,Standard Deluxe King,
double ,,,,Standard Double,Double Standard,
double ,,,,Standard Double,Standard  Double,
double ,,,,Standard Double,Standard  Double Room,
double ,,,,Standard Double,Standard - Double,
double ,,,,Standard Double,Standard - Double Room,
double ,,,,Standard Double,Standard Double,
double ,,,,Standard Double,Standard Double Room,
double ,,,,Standard Double,Standard Double Room (With Shared Toilet),
double ,,,,Standard Double,"Standard Double Room, No Windows - Room Only",
double ,,,,Standard Double,"Standard Double Room, Non Smoking",
double ,,,,Standard Double,Standard Double Window,
double ,,,,Standard Double,Standard Double With Shared Toilet,
double ,,,,Standard Double,"Standard Room No Windows, 1 Double Bed",
double ,,,,Standard Double,"Standard Room, Non Smoking (Double)",
double ,queen ,,,Standard Double,"Standard Double Room, 1 Queen Bed",
double twin ,,,,Standard Double,Double Or Twin Standard,
double twin ,,,,Standard Double,Double Or Twin Standard Room,
double twin ,,,,Standard Double,Double Or Twin Standard Without Window,
double twin ,,,,Standard Double,Double/Twin Standard,
double twin ,,,,Standard Double,Standard (Double Or Twin),
double twin ,,,,Standard Double,Standard Double Or Twin,
double twin ,,,,Standard Double,Standard Double Or Twin (Max 2 Pax),
double twin ,,,,Standard Double,Standard Double Or Twin (No Window),
double twin ,,,,Standard Double,Standard Double Or Twin No Window,
double twin ,,,,Standard Double,Standard Double Or Twin Room,
double twin ,,,,Standard Double,"Standard Double Or Twin Room, 2 Bedrooms, Smoking",
double twin ,,,,Standard Double,"Standard Double Or Twin Room, Shared Bathroom (Fan)",
double twin ,,,,Standard Double,Standard Double Twin,
double twin ,,,,Standard Double,Standard Double/Twin Room,
double twin ,,,,Standard Double,"Standard Room, 1 Double Or 2 Twin Beds",
double twin ,,,,Standard Double,Standard Twin Or Double,
double twin ,,,,Standard Double,Standard Twin/Double (New Wing),
double twin ,,,,Standard Double,Standard Twin/Double (Old Wing),
,,suite ,,Standard Junior Suite,Junior Suite Standard,
,,suite ,,Standard Junior Suite,Junior Suite Standard Zone,
,,suite ,,Standard Junior Suite,Standard Junior Suite,
twin ,,,,Standard Studio,Standard Studio (Twin),
twin ,,,,Standard Studio,Standard Studio Twin,
twin ,,,,Standard Studio,Standard Studio Twin Bed Room,
,,suite ,,Standard Suite,Standard Suite,
twin ,,superior ,,Standard Superior,Standard Superior Twin,
twin ,,superior ,,Standard Superior,Superior Standard Twin,
,,superior ,,Standard Superior,Standard / Superior,
,,superior ,,Standard Superior,Standard Superior,
,,superior ,,Standard Superior,Standard Superior No Window,
,,superior ,,Standard Superior,Superior Standard Zone,
,queen ,superior ,,Standard Superior,Superior Standard Queen,
,,superior suite ,,Standard Superior Suite,Superior Suite Standard,
,king ,,,Standart,King Room,
,king ,,Golf,Standart,"Room, 1 King Bed, Golf View",
,king ,,,Standart,"Room, 1 King Bed, Non Smoking",
,queen ,,,Standart,Queen Room,
,queen ,,,Standart,Queen/Queen,
double twin ,,,,Studio,Double Or Twin Studio,
single ,,,,Studio,"Studio, 2 Single Beds",
twin ,,,,Studio,Twin Studio Loft,
twin ,,,Garden,Studio,Garden View Twin Studio,
twin ,,,,Studio,Studio Twin,
twin ,,,,Studio,Studio Twin Room,
twin ,,,,Studio,"Studio, 2 Twin Beds (Twin)",
twin ,,,,Studio,Twin Studio,
,,,,Studio,Studio,
,,,,Studio,Studio  Room,
,,,,Studio,Studio Room,
,,,City,Studio,"Studio, City View",
,,,,Studio,Studio.,
,queen ,,,Studio,Queen Studio,
,queen ,,,Studio,Studio Queen,
,queen ,,,Studio,"Studio, 1 Queen Bed",
,queen ,deluxe ,,Studio Deluxe,Deluxe Queen Studio,
double ,,,,Studio Double,Double Studio,
,,executive ,,Studio Executive,Studio Executive,
,,premier ,,Studio Premier,Studio Premier,
,,,,Studio Standard,Standard Studio,
,,,,Studio Standard,Standard Studio (2 Adults),
,,,,Studio Standard,Standard Studio 1,
,,,,Studio Standard,Standard Studio 2,
,,,,Studio Standard,Standard Studio 5,
,,,,Studio Standard,Studio Standard,
,,,,Studio Standard,Studio Standard Fl. 2 - 4,
single ,,suite ,,Studio Suite,Studio Suite Single,
,,suite ,City,Studio Suite,"City Studio Suite, 1 Queen Bed, Balcony, City View",
,,suite ,,Studio Suite,Studio - Suite,
,,suite ,,Studio Suite,Studio Suite,
,,suite ,,Studio Suite,Studio Suite Twin,
,,suite ,,Studio Suite,Studio Suite.,
,king ,suite ,,Studio Suite,"Studio Suite, 1 King Bed",
,queen ,suite ,,Studio Suite,Studio Suite (1 Queen Bed),
,queen ,suite ,,Studio Suite,Studio Suite (2 Queen Bed),
double ,,suite ,,Suite,Double Suite,
double ,,suite ,,Suite,Suite Double Bed,
double ,king ,suite ,,Suite,Double Loft King Suite,
double twin ,,suite ,,Suite,Suite Double Or Twin,
,,classic suite ,,Suite,Klcc View Classic Suite,
,queen ,suite ,,Suite,"Signature Suite, 2 Queen Beds",
,,suite ,,Suite,Jj Suite,
,,suite ,,Suite,One Bedroom Suite,
,,suite ,,Suite,Suite,
,,suite ,,Suite,Suite 1 Bedroom,
,,suite ,,Suite,"Suite, 1 Bedroom",
,,suite ,,Suite,"Suite, 1 Bedroom, Kitchenette",
,,suite ,,Suite,"Suite, 2 Bedrooms",
,,suite ,Towers,Suite,Twin Towers View Suite,
,king ,suite ,,Suite,John Jacob Astor King Suite,
,king ,suite ,,Suite,King Suite Non-Smoking,
,king ,suite ,,Suite,King Suite Room,
,king ,suite ,,Suite,Twin Towers View Suite 1 King,
,queen ,suite ,,Suite,2 Bedroom Suite Queen Bed,
,queen ,suite ,,Suite,Suite Queen,
,queen ,suite ,,Suite,Suite Queen Size Bed,
,queen ,suite ,,Suite,"Suite, 1 Queen Bed",
double ,,superior ,,Superior,Double Room - Superior,
double ,,superior ,,Superior,Double Room Queen Bed - Superior,
double ,,superior ,,Superior,Double Superior,
double ,,superior ,,Superior,Superior  Double,
double ,,superior ,,Superior,Superior  Double Room,
double ,,superior ,,Superior,Superior - Double,
double ,,superior ,,Superior,Superior Double,
double ,,superior ,,Superior,Superior Double Room,
double ,,superior ,,Superior,Superior Double Room - Non-Smoking,
double ,,superior ,,Superior,"Superior Double Room, No Windows",
double ,,superior ,,Superior,"Superior Double Room, Non Smoking",
double ,king ,superior ,,Superior,Double Room King Bed - Superior,
double single ,,superior ,,Superior,"Superior Room, 1 Double Or 2 Single Beds",
double single ,,superior ,,Superior,Superior Single Or Double Room,
double twin ,,superior ,,Superior,Double Or Twin Superior,
double twin ,,superior ,,Superior,Double Or Twin Superior Tower Wing,
double twin ,,superior ,,Superior,Hanoi Classic - Superior Double Or Twin Room,
double twin ,,superior ,,Superior,Superior  Double Or Twin Room ,
double twin ,,superior ,,Superior,Superior Double  Or Twin Room,
double twin ,,superior ,,Superior,Superior Double Or Twin Room,
double twin ,,superior ,,Superior,"Superior Room, 1 Double Or 2 Twin Beds",
double twin ,,superior ,,Superior,Twin/Double Room - Superior,
single ,,superior ,,Superior,Superior (2 Single Beds),
single ,,superior ,,Superior,Superior 2 Single Beds,
single ,,superior ,,Superior,Superior Room - 2 Single Beds,
single ,,superior ,,Superior,Superior Room 2 Single Beds,
single ,,superior ,,Superior,"Superior Room, 2 Single Beds",
single ,,superior ,,Superior,Superior Single,
triple ,,superior ,,Superior,Superior Triple Room,
triple double single ,,superior ,,Superior,Superior Triple (1 Double Bed And 1 Single Bed),
triple single ,,superior ,,Superior,Superior Triple - 3 Single Beds,
twin ,king ,superior ,,Superior,Corporate Superior King Or Twin,
twin ,,superior ,,Superior,Superior  Twin Room,
twin ,,superior ,,Superior,Superior (Twin),
twin ,,superior ,,Superior,Superior Room (Twin),
twin ,,superior ,,Superior,Superior Room Twin,
twin ,,superior ,,Superior,"Superior Room, 2 Twin Beds",
twin ,,superior ,,Superior,"Superior Room, 2 Twin Beds (Heliconia)",
twin ,,superior ,,Superior,Superior Twin,
twin ,,superior ,,Superior,Superior Twin  Room,
twin ,,superior ,,Superior,Superior Twin (Window),
twin ,,superior ,,Superior,Superior Twin (Without Window),
twin ,,superior ,,Superior,Superior Twin - No Window,
twin ,,superior ,,Superior,Superior Twin Room,
twin ,,superior ,,Superior,Superior Twin Room - 2 Single Beds,
twin ,,superior ,,Superior,Superior Twin Room With Window,
twin ,,superior ,,Superior,Superior Twin Room Without Window,
twin ,,superior ,,Superior,"Superior Twin Room, 2 Twin Beds",
twin ,,superior ,,Superior,"Superior Twin Room, No Windows",
twin ,,superior ,,Superior,Twin Room - Superior,
twin ,,superior ,,Superior,Twin Room - Superior - Tower,
twin ,,superior ,,Superior,Twin Room Superior,
twin ,,superior ,,Superior,Twin Superior,
,,superior ,,Superior,Superior,
,,superior ,,Superior,Superior  Room,
,,superior ,,Superior,Superior (No Window),
,,superior ,,Superior,Superior No Window,
,,superior ,,Superior,Superior Room,
,,superior ,,Superior,Superior Room (Newly Renovated!),
,,superior ,,Superior,Superior Room (Non Seaview),
,,superior ,,Superior,Superior Room (Windowless),
,,superior ,,Superior,Superior Room (With Window),
,,superior ,,Superior,Superior Room - Room Only, 1 Single Bed
,,superior ,,Superior,"Superior Room, 1 Bedroom",
,,superior ,City,Superior,"Superior Room, City View",
,,superior ,,Superior,"Superior Room, No Windows",
,,superior ,Sea,Superior,"Superior Room, Sea View",
,,superior ,,Superior,Superior Room.,
,,superior ,,Superior,Superior V,
,,superior ,,Superior,Superior Window,
,,superior ,,Superior,Superior With Window,
,,superior ,,Superior,Superior(Newly Renovated),
,,superior ,,Superior,"Superior, No Window",
,,superior ,,Superior,Superior.,
,queen ,superior ,,Superior,Corporate Superior Queen,
,queen ,superior ,,Superior,Superior Queen,
,queen ,superior ,,Superior,Superior Queen (Window),
,queen ,superior ,,Superior,Superior Queen (Without Window),
,queen ,superior ,,Superior,Superior Queen Room,
,queen ,superior ,,Superior,Superior Queen Room With Window,
,queen ,superior ,,Superior,Superior Queen.,
,queen ,superior ,,Superior,Superior Room (Queen),
,queen ,superior ,,Superior,"Superior Room, 1 Queen Bed",
,queen ,superior ,,Superior,"Superior Room, 2 Queen Beds",
,,superior ,,Superior,Superior Studio,
,,superior ,,Superior Chalet,Superior Chalet,
double ,,superior ,,Superior Club,Club Superior Double Room,
double twin ,,superior ,,Superior Club,Double Or Twin Club Superior,
double twin ,,superior ,,Superior Club,Twin/Double Room - Superior - Club Room,
twin ,,superior ,,Superior Club,Club Superior Twin Room,
,,superior ,,Superior Club,Club Superior Room,
,,superior ,,Superior Club,Superior Club,
,,superior ,,Superior Club,Superior Club With Breakfast,
,king ,superior ,,Superior Club,Club Superior King Room,
,,superior ,,Superior Condo,"Superior Condo, 1 Bedroom",
,,superior ,,Superior Condo,"Superior Condo, 2 Bedrooms",
,,superior ,,Superior Condo,"Superior Condo, 3 Bedrooms",
double ,,superior deluxe ,,Superior Deluxe,Superior Deluxe Double,
twin ,,superior deluxe ,,Superior Deluxe,Superior Deluxe Twin,
,,superior deluxe ,,Superior Deluxe,Standard Deluxe,
,king ,superior deluxe ,,Superior Deluxe,Superior Deluxe King,
,,superior ,,Superior Family,Family Room (Superior ),
,,superior ,,Superior Family,Superior Family,
,,superior ,,Superior Family,Superior Family Room - 1 Queen Bed &Amp,
,,superior suite ,,Superior Family Suite,Superior Family Suite (2 Adults And 2 Children),
,king ,superior ,,Superior,Superior King,
,king ,superior ,,Superior,Superior Room (King),
,king ,superior ,,Superior,"Superior Room, 1 King Bed",
,king ,superior ,,Superior,"Superior Room, 1 King Bed - Room Only",
double ,,superior ,,Superior Studio,Studio Superior Double,
double twin ,,superior ,,Superior Studio,Double Or Twin Superior Studio,
twin ,,superior ,,Superior Studio,Superior Studio - Twin Bed,
twin ,,superior ,,Superior Studio,Superior Studio Twin Bed Room,
,king ,superior ,,Superior Studio,Studio Superior King,
,king ,superior ,,Superior Studio,Superior Studio King,
